以a为开头的单词总共有：1107个
art                 : 73
healing             : 3
hears               : 3
hephaestus          : 3
hero                : 3
hirelings           : 3
holds               : 3
honourable          : 3
honoured            : 3
hook                : 3
hurtful             : 3
hair                : 2
hairy               : 2
handed              : 2
handle              : 2
handsome            : 2
happen              : 2
happiest            : 2
harmless            : 2
hateful             : 2
hatred              : 2
healer              : 2
hearts              : 2
heavy               : 2
hector              : 2
heir                : 2
hellenes            : 2
helping             : 2
herodicus           : 2
hesitate            : 2
hollow              : 2
holy                : 2
homicide            : 2
honesty             : 2
horseback           : 2
horsemanship        : 2
horsemen            : 2
hot                 : 2
humble              : 2
hunting             : 2
hurts               : 2
husbandry           : 2
habitable           : 1
habitation          : 1
habitations         : 1
hail                : 1
halloo              : 1
halls               : 1
handing             : 1
happening           : 1
haranguing          : 1
harbour             : 1
harbouring          : 1
harbours            : 1
harder              : 1
hardness            : 1
harmonised          : 1
harmonist           : 1
harmonized          : 1
harmonizes          : 1
hater               : 1
hates               : 1
hating              : 1
hatreds             : 1
headache            : 1
heal                : 1
healthiest          : 1
hearers             : 1
heavenly            : 1
heavier             : 1
heed                : 1
height              : 1
heinous             : 1
hell                : 1
hellespont          : 1
helper              : 1
helpers             : 1
herb                : 1
herbs               : 1
herd                : 1
herdsmen            : 1
hermocrates         : 1
heroic              : 1
hesitating          : 1
hesitation          : 1
hidden              : 1
hides               : 1
highly              : 1
hindrance           : 1
hire                : 1
holding             : 1
hole                : 1
holiness            : 1
homes               : 1
honest              : 1
hornet              : 1
horrible            : 1
horrid              : 1
horseman            : 1
hospitality         : 1
host                : 1
hostile             : 1
housed              : 1
housekeepers        : 1
hue                 : 1
huge                : 1
humanize            : 1
humours             : 1
hungers             : 1
hunters             : 1
huntsmen            : 1
husband             : 1
hut                 : 1
hydra               : 1
hymning             : 1

以i为开头的单词总共有：625个
injustice           : 92
individual          : 27
imagine             : 19
ill                 : 16
imitate             : 15
impossible          : 15
imitation           : 13
idea                : 11
ignorance           : 11
ignorant            : 11
influence           : 10
incapable           : 7
infer               : 7
inference           : 7
injured             : 6
injury              : 6
instruments         : 6
intemperance        : 6
illustration        : 5
imitations          : 5
individuals         : 5
iron                : 5
image               : 4
imagined            : 4
implements          : 4
inclined            : 4
inferior            : 4
inhabitants         : 4
injure              : 4
innovation          : 4
instances           : 4
intended            : 4
invisible           : 4
iambic              : 3
illustrious         : 3
impiety             : 3
implied             : 3
impose              : 3
impression          : 3
indolence           : 3
informer            : 3
inharmonious        : 3
inherited           : 3
injuring            : 3
insist              : 3
institution         : 3
instrument          : 3
intention           : 3
intermediate        : 3
interposing         : 3
introduce           : 3
ideas               : 2
illnesses           : 2
illustrate          : 2
illustrated         : 2
images              : 2
imitating           : 2
imitative           : 2
imitator            : 2
impatient           : 2
impious             : 2
implies             : 2
improved            : 2
improvement         : 2
improves            : 2
inability           : 2
inclines            : 2
income              : 2
inconsistency       : 2
increase            : 2
individually        : 2
induced             : 2
indulged            : 2
infallible          : 2
infamy              : 2
inflict             : 2
influenced          : 2
inform              : 2
innumerable         : 2
insolence           : 2
inspired            : 2
instant             : 2
instruction         : 2
intelligible        : 2
intemperate         : 2
interposed          : 2
interpreter         : 2
introduced          : 2
invalids            : 2
investigation       : 2
involuntary         : 2
ida                 : 1
ideal               : 1
identified          : 1
idiot               : 1
idle                : 1
idling              : 1
ii                  : 1
iii                 : 1
iliad               : 1
illiberality        : 1
illness             : 1
illusion            : 1
imagines            : 1
imitated            : 1
imitators           : 1
immoral             : 1
immortality         : 1
immortals           : 1
immutably           : 1
impair              : 1
impairs             : 1
impaled             : 1
imparting           : 1
imparts             : 1
impediment          : 1
imperceptibly       : 1
impertinences       : 1
implant             : 1
implants            : 1
implement           : 1
imply               : 1
imported            : 1
importers           : 1
impositions         : 1
impossibility       : 1
impracticable       : 1
improper            : 1
improve             : 1
inachus             : 1
incantations        : 1
incense             : 1
inclination         : 1
incline             : 1
included            : 1
includes            : 1
including           : 1
incompatible        : 1
inconceivable       : 1
inconsistent        : 1
inconvenient        : 1
increasing          : 1
incur               : 1
incurable           : 1
indebted            : 1
indecency           : 1
indelible           : 1
indelibly           : 1
independently       : 1
indifference        : 1
indifferent         : 1
indignant           : 1
indirectly          : 1
indistinct          : 1
indolent            : 1
indomitable         : 1
inducement          : 1
induces             : 1
indulges            : 1
inevitable          : 1
inexperience        : 1
inextinguishable    : 1
infallibly          : 1
inferiority         : 1
inferred            : 1
inflammatory        : 1
inflicted           : 1
influences          : 1
influential         : 1
informs             : 1
infusion            : 1
ingenious           : 1
inimical            : 1
injurious           : 1
inmost              : 1
insatiable          : 1
insensibly          : 1
inside              : 1
insidiously         : 1
insisted            : 1
inspires            : 1
instance            : 1
instantly           : 1
instigated          : 1
instinct            : 1
instruct            : 1
insubordination     : 1
insult              : 1
insurrection        : 1
intact              : 1
intellectually      : 1
intelligence        : 1
intensified         : 1
intentional         : 1
intentionally       : 1
interchange         : 1
intercourse         : 1
interdict           : 1
interdicted         : 1
interfere           : 1
interference        : 1
internal            : 1
intervals           : 1
intimate            : 1
intimates           : 1
intimating          : 1
intoxication        : 1
introducing         : 1
intuitively         : 1
invaders            : 1
invades             : 1
invent              : 1
invincible          : 1
invite              : 1
invited             : 1
invoked             : 1
involuntarily       : 1
involving           : 1
inwardly            : 1
inwards             : 1
ionian              : 1
ironical            : 1
irony               : 1
irrational          : 1
irreconcileable     : 1
irritable           : 1
ismenias            : 1
isolate             : 1
isolation           : 1
issuing             : 1
ithaca              : 1
iv                  : 1
ivory               : 1

以j为开头的单词总共有：216个
justice             : 175
judge               : 7
judges              : 7
judgment            : 5
justly              : 5
jest                : 4
join                : 3
journey             : 3
jests               : 1
joined              : 1
joint               : 1
joke                : 1
judged              : 1
juries              : 1
justified           : 1

以k为开头的单词总共有：81个
knowledge           : 37
knowing             : 12
kinds               : 8
king                : 4
keeping             : 3
kindred             : 2
kings               : 2
keen                : 1
keener              : 1
keenness            : 1
keeper              : 1
keepers             : 1
kill                : 1
kindly              : 1
kingdom             : 1
kinsman             : 1
kneading            : 1
knife               : 1
knock               : 1
knocking            : 1

以l为开头的单词总共有：498个
life                : 62
lie                 : 25
love                : 23
law                 : 22
laws                : 18
lives               : 12
live                : 11
liable              : 10
light               : 9
larger              : 8
leave               : 8
left                : 7
limit               : 7
lying               : 7
laid                : 6
laughing            : 6
lead                : 6
learn               : 6
learned             : 6
learning            : 6
length              : 6
lesser              : 6
letters             : 6
likeness            : 6
listen              : 6
labour              : 5
laughter            : 5
lay                 : 5
loss                : 5
lover               : 5
land                : 4
language            : 4
likes               : 4
living              : 4
lost                : 4
lydian              : 4
lamenting           : 3
lands               : 3
lawless             : 3
leaves              : 3
legislator          : 3
leisure             : 3
lessons             : 3
lies                : 3
lighter             : 3
likewise            : 3
limits              : 3
looked              : 3
loves               : 3
luxurious           : 3
lyre                : 3
labours             : 2
late                : 2
laughed             : 2
laying              : 2
learns              : 2
legislate           : 2
legislation         : 2
level               : 2
licence             : 2
lightly             : 2
lines               : 2
lingering           : 2
lips                : 2
literature          : 2
lord                : 2
lose                : 2
lots                : 2
loveliest           : 2
lower               : 2
lyes                : 2
labouring           : 1
lacedaemonians      : 1
lament              : 1
lamentation         : 1
lamentations        : 1
largest             : 1
lasting             : 1
lastly              : 1
laugh               : 1
laughs              : 1
lawful              : 1
lawlessness         : 1
lawyer              : 1
laxity              : 1
lazy                : 1
leader              : 1
leaders             : 1
leads               : 1
lean                : 1
leaning             : 1
learnt              : 1
leaving             : 1
led                 : 1
legislating         : 1
legislators         : 1
lengthen            : 1
leontius            : 1
lesson              : 1
liability           : 1
libations           : 1
liberal             : 1
liberality          : 1
liberty             : 1
lifted              : 1
lifting             : 1
lightning           : 1
limbs               : 1
lion                : 1
listened            : 1
literal             : 1
literary            : 1
litigant            : 1
litigiousness       : 1
livelihood          : 1
loaves              : 1
loftier             : 1
longing             : 1
lookers             : 1
loosening           : 1
lords               : 1
loser               : 1
loses               : 1
losing              : 1
losses              : 1
lot                 : 1
loudly              : 1
lovers              : 1
loving              : 1
lowest              : 1
ludicrous           : 1
ludicrously         : 1
lust                : 1
luxury              : 1
lydia               : 1
lye                 : 1
lyres               : 1
lyric               : 1
lysanias            : 1
lysias              : 1

以m为开头的单词总共有：640个
mind                : 44
music               : 37
meaning             : 29
manner              : 28
money               : 26
medicine            : 25
matter              : 20
master              : 16
musician            : 13
mistaken            : 12
maintain            : 11
mankind             : 11
market              : 8
matters             : 8
mere                : 8
mad                 : 7
meant               : 7
minds               : 7
mistake             : 7
mode                : 7
motion              : 7
melody              : 6
mention             : 6
miserable           : 6
method              : 5
modes               : 5
moment              : 5
mother              : 5
madness             : 4
makers              : 4
male                : 4
meanness            : 4
meats               : 4
mentioning          : 4
middle              : 4
military            : 4
misery              : 4
models              : 4
musical             : 4
maintaining         : 3
management          : 3
meal                : 3
meet                : 3
meets               : 3
mentioned           : 3
merchants           : 3
met                 : 3
mine                : 3
mixed               : 3
model               : 3
moral               : 3
mythology           : 3
magic               : 2
maintained          : 2
maker               : 2
males               : 2
manifold            : 2
manners             : 2
marriage            : 2
mass                : 2
mastery             : 2
match               : 2
meaner              : 2
measure             : 2
meat                : 2
meddling            : 2
medicines           : 2
menelaus            : 2
metal               : 2
metre               : 2
mightiest           : 2
mighty              : 2
minister            : 2
ministers           : 2
misfortune          : 2
mixture             : 2
moderate            : 2
monstrous           : 2
mortal              : 2
mothers             : 2
mould               : 2
mouths              : 2
multitude           : 2
musaeus             : 2
muses               : 2
myrtle              : 2
mysteries           : 2
madder              : 1
madman              : 1
madmen              : 1
magician            : 1
magicians           : 1
magnificence        : 1
magnificently       : 1
magnifying          : 1
main                : 1
maintains           : 1
maintenance         : 1
malignity           : 1
manage              : 1
manhood             : 1
mansion             : 1
mansions            : 1
manufacture         : 1
manufactured        : 1
march               : 1
marched             : 1
mark                : 1
markets             : 1
marriages           : 1
marry               : 1
marsh               : 1
marsyas             : 1
marvels             : 1
masters             : 1
mat                 : 1
materials           : 1
maternal            : 1
mattock             : 1
mature              : 1
matured             : 1
measuring           : 1
mechanical          : 1
meddle              : 1
meddlesomeness      : 1
meed                : 1
meetings            : 1
megara              : 1
melancholy          : 1
melodies            : 1
melt                : 1
melted              : 1
memorial            : 1
memorials           : 1
mendicant           : 1
mending             : 1
menoetius           : 1
mental              : 1
mercenaries         : 1
merchandise         : 1
merits              : 1
mess                : 1
messengers          : 1
metres              : 1
metrical            : 1
mid                 : 1
midas               : 1
midway              : 1
mightier            : 1
mightily            : 1
mimetic             : 1
mingle              : 1
mingled             : 1
mingles             : 1
minute              : 1
minutes             : 1
miraculous          : 1
mirror              : 1
misapprehend        : 1
misgivings          : 1
misrepresent        : 1
missed              : 1
misstatements       : 1
mistress            : 1
mistrusted          : 1
mists               : 1
misunderstanding    : 1
mock                : 1
moderately          : 1
moderating          : 1
moderation          : 1
modern              : 1
moisture            : 1
monarchy            : 1
moneys              : 1
monthly             : 1
moon                : 1
morals              : 1
mortals             : 1
motive              : 1
motives             : 1
mounting            : 1
moved               : 1
movement            : 1
moves               : 1
moving              : 1
multiplicity        : 1
multiply            : 1
murmur              : 1
muscles             : 1
mute                : 1
mutual              : 1
myriads             : 1
myrrh               : 1
mystery             : 1
mystic              : 1
myth                : 1
myths               : 1

以n为开头的单词总共有：282个
nature              : 79
natures             : 21
natural             : 16
necessity           : 11
noble               : 11
naturally           : 9
narration           : 8
narrative           : 8
names               : 7
note                : 7
notion              : 6
nurture             : 6
notes               : 5
nobler              : 4
nonsense            : 4
numerous            : 4
nurse               : 4
naked               : 3
night               : 3
narrated            : 2
nations             : 2
navigation          : 2
neglect             : 2
neighbours          : 2
nod                 : 2
noise               : 2
notions             : 2
nurses              : 2
nameless            : 1
napping             : 1
narrate             : 1
narrating           : 1
narrator            : 1
narrators           : 1
native              : 1
navel               : 1
nearer              : 1
neatherd            : 1
neatherds           : 1
necessaries         : 1
necessities         : 1
needful             : 1
negatively          : 1
neglected           : 1
neglecting          : 1
neighing            : 1
nemesis             : 1
nerves              : 1
nerving             : 1
nest                : 1
newfangled          : 1
newly               : 1
news                : 1
nice                : 1
niceratus           : 1
nicias              : 1
niobe               : 1
nobleness           : 1
noblest             : 1
nobly               : 1
nodding             : 1
north               : 1
northern            : 1
nose                : 1
nostrum             : 1
notice              : 1
noticed             : 1
notwithstanding     : 1
nought              : 1
nourishment         : 1
novelty             : 1
noxious             : 1
numbering           : 1
nuptials            : 1
nursing             : 1
nurtured            : 1

以o为开头的单词总共有：254个
opinion             : 29
opposite            : 21
object              : 16
observe             : 9
original            : 9
office              : 8
origin              : 6
observed            : 5
offer               : 5
opponent            : 5
opposition          : 5
ordinary            : 5
obey                : 4
objections          : 4
occasion            : 4
occurred            : 4
offices             : 4
offspring           : 4
owes                : 4
obedience           : 3
observation         : 3
obvious             : 3
occupation          : 3
offering            : 3
oftener             : 3
openly              : 3
overcome            : 3
oaths               : 2
objection           : 2
obligatory          : 2
obtaining           : 2
occupations         : 2
occur               : 2
occurring           : 2
occurs              : 2
ocean               : 2
offerings           : 2
omit                : 2
opposites           : 2
ordained            : 2
ordains             : 2
outward             : 2
outwards            : 2
overtaken           : 2
overturn            : 2
owe                 : 2
oxen                : 2
oaks                : 1
oarsmen             : 1
obeyed              : 1
objectionable       : 1
objector            : 1
objects             : 1
obliterate          : 1
obnoxious           : 1
obtains             : 1
occasions           : 1
occupy              : 1
ode                 : 1
odour               : 1
odysseus            : 1
odyssey             : 1
offered             : 1
offers              : 1
olives              : 1
omission            : 1
omissions           : 1
operates            : 1
operations          : 1
opponents           : 1
opportunities       : 1
oppose              : 1
opposed             : 1
opposes             : 1
oracle              : 1
organs              : 1
originally          : 1
originate           : 1
orpheus             : 1
outlines            : 1
outrageous          : 1
overlook            : 1
overtake            : 1
overthrow           : 1
overweening         : 1
overwhelmed         : 1

以p为开头的单词总共有：1190个
power               : 35
principle           : 35
person              : 30
physician           : 23
polemarchus         : 23
poets               : 22
principles          : 21
persons             : 20
proceed             : 20
poet                : 16
perfectly           : 14
praise              : 14
proper              : 14
passion             : 12
pay                 : 12
people              : 12
perfect             : 12
pilot               : 12
pleasures           : 12
private             : 12
payment             : 11
peace               : 11
pleasure            : 11
practise            : 11
play                : 10
pursuits            : 10
pain                : 9
persuade            : 9
poetry              : 9
proof               : 9
provide             : 9
purpose             : 9
perceive            : 8
profitable          : 8
public              : 8
pass                : 7
physicians          : 7
poor                : 7
possession          : 7
punished            : 7
path                : 6
philosophy          : 6
possess             : 6
practice            : 6
profit              : 6
proved              : 6
pure                : 6
pains               : 5
parent              : 5
parents             : 5
partner             : 5
perfection          : 5
philosopher         : 5
player              : 5
practised           : 5
praised             : 5
priest              : 5
process             : 5
producing           : 5
propose             : 5
prove               : 5
partnership         : 4
passages            : 4
passed              : 4
passing             : 4
patient             : 4
patroclus           : 4
perform             : 4
permitted           : 4
persuasion          : 4
piraeus             : 4
portion             : 4
potter              : 4
poverty             : 4
praising            : 4
praying             : 4
prepare             : 4
prescribed          : 4
preserves           : 4
prevail             : 4
previous            : 4
proceeding          : 4
produce             : 4
property            : 4
proposal            : 4
prose               : 4
proverb             : 4
punishment          : 4
purple              : 4
pursuit             : 4
paid                : 3
painter             : 3
panharmonic         : 3
passionate          : 3
penalty             : 3
performing          : 3
permit              : 3
persuading          : 3
piece               : 3
pieces              : 3
pindar              : 3
political           : 3
popular             : 3
position            : 3
possessor           : 3
posterity           : 3
practising          : 3
praises             : 3
prayed              : 3
preceding           : 3
precise             : 3
precisely           : 3
prefer              : 3
prescribing         : 3
preserve            : 3
preserved           : 3
proceeded           : 3
proceeds            : 3
production          : 3
profession          : 3
prohibited          : 3
promise             : 3
pruning             : 3
pupil               : 3
push                : 3
pandarus            : 2
panic               : 2
pantomimic          : 2
partly              : 2
passions            : 2
pasture             : 2
pattern             : 2
perplexed           : 2
phocylides          : 2
phrygian            : 2
pious               : 2
plain               : 2
players             : 2
plough              : 2
possessed           : 2
possessing          : 2
posset              : 2
possibility         : 2
potent              : 2
pots                : 2
powerful            : 2
practices           : 2
pramnian            : 2
pray                : 2
prayer              : 2
prayers             : 2
preferring          : 2
prepared            : 2
prescribes          : 2
presence            : 2
presides            : 2
presiding           : 2
pressure            : 2
pretension          : 2
price               : 2
pride               : 2
privilege           : 2
procession          : 2
proclaims           : 2
produces            : 2
profess             : 2
properly            : 2
prophets            : 2
proportion          : 2
proposals           : 2
proposed            : 2
prudent             : 2
pull                : 2
pulls               : 2
punish              : 2
pursued             : 2
pursuing            : 2
paeanian            : 1
paeonic             : 1
painting            : 1
paints              : 1
pair                : 1
palaestra           : 1
palm                : 1
paltry              : 1
pampered            : 1
pancakes            : 1
pancratiast         : 1
panegyrists         : 1
pans                : 1
paramount           : 1
partially           : 1
particulars         : 1
parties             : 1
partners            : 1
partnerships        : 1
party               : 1
passage             : 1
passive             : 1
patients            : 1
patrimony           : 1
pause               : 1
paying              : 1
peak                : 1
peas                : 1
peasants            : 1
peculiar            : 1
peculiarity         : 1
pegs                : 1
peirithous          : 1
peleus              : 1
pelops              : 1
penetrated          : 1
penetrates          : 1
peradventure        : 1
perceived           : 1
perdiccas           : 1
perfected           : 1
performed           : 1
perfumes            : 1
periander           : 1
perilous            : 1
perils              : 1
period              : 1
perjury             : 1
perpendicular       : 1
perpetrate          : 1
perpetrated         : 1
perpetrating        : 1
perpetual           : 1
perpetually         : 1
perplexing          : 1
perplexity          : 1
persephone          : 1
persevere           : 1
personage           : 1
personal            : 1
personate           : 1
perspiration        : 1
persuaded           : 1
perverse            : 1
perverting          : 1
phantom             : 1
philosophers        : 1
philosophical       : 1
phoebus             : 1
phoenician          : 1
phoenicians         : 1
phoenix             : 1
physic              : 1
picture             : 1
piecemeal           : 1
pig                 : 1
pigs                : 1
pipe                : 1
pipes               : 1
pitiful             : 1
pittacus            : 1
pity                : 1
plaintiff           : 1
plans               : 1
plant               : 1
plants              : 1
played              : 1
playing             : 1
plays               : 1
pleasant            : 1
pleasing            : 1
plentifully         : 1
plenty              : 1
plots               : 1
plotted             : 1
plotting            : 1
plucking            : 1
plural              : 1
pluto               : 1
poems               : 1
poetical            : 1
police              : 1
polish              : 1
politic             : 1
politics            : 1
pollute             : 1
polydamas           : 1
population          : 1
portionless         : 1
portrait            : 1
poseidon            : 1
positive            : 1
possessors          : 1
potters             : 1
pottery             : 1
pour                : 1
poured              : 1
pouring             : 1
pours               : 1
powers              : 1
practicability      : 1
practicable         : 1
precautions         : 1
preceded            : 1
precious            : 1
predecessors        : 1
predicament         : 1
preferred           : 1
prescribe           : 1
preservation        : 1
preservative        : 1
preside             : 1
presume             : 1
presuppose          : 1
pretty              : 1
prevails            : 1
prevented           : 1
preventing          : 1
preventive          : 1
prey                : 1
priam               : 1
priestess           : 1
primary             : 1
prince              : 1
principal           : 1
prison              : 1
prithee             : 1
probable            : 1
processes           : 1
proclaim            : 1
procreation         : 1
procured            : 1
produced            : 1
productions         : 1
profane             : 1
professed           : 1
professes           : 1
professing          : 1
professional        : 1
professors          : 1
profound            : 1
progeny             : 1
progress            : 1
prohibit            : 1
prolixity           : 1
promised            : 1
prone               : 1
prophecy            : 1
propitiate          : 1
propitiated         : 1
proportions         : 1
proposition         : 1
propositions        : 1
propriety           : 1
proscribing         : 1
protection          : 1
proteus             : 1
proves              : 1
provided            : 1
providing           : 1
proving             : 1
provision           : 1
provisions          : 1
provocation         : 1
provoke             : 1
prowess             : 1
pugnacious          : 1
pugnaciously        : 1
pulleys             : 1
punishments         : 1
puppies             : 1
purchase            : 1
purer               : 1
purgation           : 1
purge               : 1
purged              : 1
purges              : 1
purging             : 1
purity              : 1
purposes            : 1
pursue              : 1
purveyor            : 1
pushes              : 1
putting             : 1
pyre                : 1

以q为开头的单词总共有：122个
question            : 57
qualities           : 21
quality             : 15
qualified           : 6
quantity            : 3
quarrel             : 3
quarrelling         : 3
questions           : 2
quantities          : 1
quarrels            : 1
quarry              : 1
quarter             : 1
quartered           : 1
queen               : 1
quelled             : 1
questioned          : 1
quick               : 1
quickwitted         : 1
quiver              : 1
quoted              : 1

以r为开头的单词总共有：960个
replied             : 147
reason              : 43
rulers              : 30
rule                : 23
ruler               : 22
rest                : 19
regard              : 17
rich                : 16
remember            : 15
required            : 15
rhythm              : 14
ridiculous          : 14
receive             : 13
ready               : 11
result              : 11
reverse             : 11
rightly             : 11
require             : 10
rhythms             : 10
round               : 10
real                : 9
reputation          : 9
reality             : 8
received            : 8
reasons             : 7
recognise           : 7
remaining           : 7
respect             : 7
rate                : 6
reflection          : 6
refuse              : 6
regulations         : 6
relation            : 6
relative            : 6
relatives           : 6
reply               : 6
refusing            : 5
remain              : 5
remains             : 5
remark              : 5
request             : 5
return              : 5
rewards             : 5
ring                : 5
rules               : 5
ruling              : 5
rational            : 4
reached             : 4
receives            : 4
receiving           : 4
reflect             : 4
reluctant           : 4
repayment           : 4
repeated            : 4
resolution          : 4
rid                 : 4
race                : 3
rank                : 3
rare                : 3
ratio               : 3
read                : 3
refuses             : 3
regimen             : 3
reject              : 3
relations           : 3
reluctance          : 3
remedies            : 3
repeat              : 3
representation      : 3
represented         : 3
requires            : 3
resides             : 3
retains             : 3
reward              : 3
river               : 3
raise               : 2
raised              : 2
raising             : 2
ransom              : 2
reach               : 2
realized            : 2
reappeared          : 2
rebuke              : 2
rebuked             : 2
reckoned            : 2
recover             : 2
referred            : 2
refrain             : 2
regular             : 2
rejoined            : 2
relaxed             : 2
release             : 2
relish              : 2
remind              : 2
rendered            : 2
renders             : 2
repeating           : 2
report              : 2
represent           : 2
repulsion           : 2
reputed             : 2
requiring           : 2
resemble            : 2
respective          : 2
respects            : 2
revile              : 2
rewarded            : 2
rhapsodists         : 2
rise                : 2
rising              : 2
road                : 2
roast               : 2
robbers             : 2
roll                : 2
rough               : 2
royal               : 2
ruin                : 2
ruled               : 2
racked              : 1
rain                : 1
ranks               : 1
rape                : 1
rapture             : 1
rascalities         : 1
reaction            : 1
reading             : 1
realities           : 1
realization         : 1
realize             : 1
reaped              : 1
rear                : 1
reared              : 1
reascended          : 1
reasonable          : 1
reasoning           : 1
rebel               : 1
rebellious          : 1
recall              : 1
receiver            : 1
receivers           : 1
reciters            : 1
recites             : 1
recklessness        : 1
reclining           : 1
recognize           : 1
recollect           : 1
recollection        : 1
recommends          : 1
recounting          : 1
recourse            : 1
recovery            : 1
recreation          : 1
recurring           : 1
redeem              : 1
reduced             : 1
reeds               : 1
refer               : 1
reference           : 1
refine              : 1
refinements         : 1
reflected           : 1
reflecting          : 1
reformation         : 1
reforms             : 1
refractory          : 1
refused             : 1
refutation          : 1
refute              : 1
regarded            : 1
regime              : 1
region              : 1
regrets             : 1
regularly           : 1
regulated           : 1
regulation          : 1
rehearsing          : 1
rejected            : 1
rejection           : 1
rejoices            : 1
rejoicings          : 1
rejoin              : 1
relates             : 1
relax               : 1
released            : 1
religion            : 1
religious           : 1
remainder           : 1
remarkable          : 1
remarked            : 1
remarking           : 1
remarks             : 1
remedy              : 1
remembers           : 1
reminded            : 1
reminding           : 1
remnant             : 1
remuneration        : 1
render              : 1
rendering           : 1
repast              : 1
replies             : 1
replying            : 1
repose              : 1
repositories        : 1
representations     : 1
represents          : 1
reproach            : 1
reproached          : 1
repugnance          : 1
reputations         : 1
requested           : 1
requirements        : 1
resembling          : 1
reserved            : 1
reside              : 1
residue             : 1
resist              : 1
resolve             : 1
resolved            : 1
resort              : 1
respecting          : 1
restless            : 1
restored            : 1
restraint           : 1
restricted          : 1
resumes             : 1
retail              : 1
retailer            : 1
retaining           : 1
retaliated          : 1
retaliation         : 1
retirement          : 1
retort              : 1
retrace             : 1
returned            : 1
revealed            : 1
revelry             : 1
revenues            : 1
revered             : 1
reverend            : 1
reversed            : 1
reviles             : 1
revive              : 1
revolts             : 1
revolves            : 1
revolving           : 1
rhetoric            : 1
rhythmical          : 1
richer              : 1
riches              : 1
ridicule            : 1
ridiculed           : 1
riding              : 1
rights              : 1
rings               : 1
risk                : 1
rites               : 1
ritual              : 1
rivers              : 1
roared              : 1
robe                : 1
robust              : 1
rock                : 1
rolling             : 1
roof                : 1
root                : 1
roots               : 1
rougher             : 1
rubbed              : 1
rugged              : 1
ruinous             : 1
rumour              : 1
runs                : 1

以s为开头的单词总共有：1501个
soul                : 75
suppose             : 56
sort                : 55
socrates            : 53
speaking            : 35
stronger            : 34
spirit              : 30
speak               : 28
subject             : 25
style               : 24
son                 : 23
simple              : 22
subjects            : 22
sight               : 18
surely              : 18
sons                : 17
sense               : 16
supposed            : 13
satisfied           : 11
silver              : 11
story               : 11
strain              : 11
science             : 10
shepherd            : 10
spoken              : 10
strength            : 10
sacrifices          : 9
sake                : 9
seeking             : 9
sheep               : 9
stories             : 9
simplicity          : 8
single              : 8
skilful             : 8
soldiers            : 8
sorts               : 8
superior            : 8
scale               : 7
sea                 : 7
set                 : 7
shoemaker           : 7
simonides           : 7
skill               : 7
song                : 7
sailors             : 6
servant             : 6
shoes               : 6
sorrow              : 6
souls               : 6
speaker             : 6
special             : 6
spirited            : 6
spoke               : 6
suffer              : 6
superiority         : 6
safely              : 5
sailor              : 5
sex                 : 5
sick                : 5
slaves              : 5
soothing            : 5
speech              : 5
statement           : 5
strike              : 5
study               : 5
sufficient          : 5
supply              : 5
sweet               : 5
search              : 4
sentiments          : 4
service             : 4
share               : 4
shepherds           : 4
ship                : 4
short               : 4
sir                 : 4
sit                 : 4
slave               : 4
smiths              : 4
soldier             : 4
sought              : 4
spot                : 4
styles              : 4
summer              : 4
suspect             : 4
sacrifice           : 3
sakes               : 3
salvation           : 3
savage              : 3
sciences            : 3
select              : 3
selection           : 3
sell                : 3
send                : 3
senses              : 3
servants            : 3
serve               : 3
setting             : 3
shadow              : 3
shield              : 3
shrilling           : 3
shrink              : 3
sickness            : 3
silent              : 3
simply              : 3
sin                 : 3
sleep               : 3
slight              : 3
softness            : 3
sooner              : 3
sophocles           : 3
sounds              : 3
speaks              : 3
stage               : 3
stand               : 3
starting            : 3
strangers           : 3
strict              : 3
strings             : 3
strong              : 3
struck              : 3
struggle            : 3
succeed             : 3
suffering           : 3
sufficing           : 3
supposing           : 3
system              : 3
sailing             : 2
sale                : 2
satisfaction        : 2
sauces              : 2
saviours            : 2
seek                : 2
selected            : 2
selecting           : 2
senseless           : 2
sensual             : 2
severally           : 2
shades              : 2
shoemaking          : 2
shores              : 2
sickly              : 2
sights              : 2
sign                : 2
silence             : 2
sinews              : 2
sing                : 2
sinning             : 2
sits                : 2
sitting             : 2
skilled             : 2
slain               : 2
slavery             : 2
slice               : 2
slighting           : 2
smooth              : 2
smote               : 2
society             : 2
sofas               : 2
soft                : 2
solution            : 2
songs               : 2
specially           : 2
species             : 2
speculation         : 2
speeches            : 2
speedily            : 2
spend               : 2
spent               : 2
sphere              : 2
spring              : 2
standing            : 2
started             : 2
statesman           : 2
steal               : 2
steals              : 2
step                : 2
stock               : 2
stout               : 2
strange             : 2
stricken            : 2
strife              : 2
stringed            : 2
strive              : 2
strongest           : 2
struggled           : 2
stupid              : 2
success             : 2
suffered            : 2
sufferings          : 2
suffers             : 2
suitable            : 2
suited              : 2
suits               : 2
sum                 : 2
sun                 : 2
sung                : 2
supplied            : 2
suspicion           : 2
suspicions          : 2
swim                : 2
systems             : 2
sacred              : 1
sacrificing         : 1
sacrilege           : 1
saddest             : 1
sadly               : 1
safe                : 1
safeguard           : 1
safety              : 1
sage                : 1
sages               : 1
sails               : 1
saints              : 1
salesmen            : 1
salt                : 1
salute              : 1
saluted             : 1
sameness            : 1
sanction            : 1
sang                : 1
sapless             : 1
sarpedon            : 1
sat                 : 1
satisfactions       : 1
satisfactorily      : 1
satisfactory        : 1
